model,status,hr@5,hr@10,hr@20,ndcg@5,ndcg@10,ndcg@20,coverage,tail_hr@10,tail_ndcg@10,invalid_sid_rate,samples,hr@10_head,ndcg@10_head,samples_head,hr@10_mid,ndcg@10_mid,samples_mid,hr@10_tail,ndcg@10_tail,samples_tail
Text-SFT,evaluated_full_2564,0.005850234009360375,0.005850234009360375,0.005850234009360375,0.0026443771028689476,0.0026443771028689476,0.0026443771028689476,0.044044044044044044,0.0022471910112359553,0.0011235955056179776,0.0,2564,0.009146341463414634,0.0037164331996608537,984,0.004405286343612335,0.002311200549153922,1135,0.0022471910112359553,0.0011235955056179776,445
Text-GRPO,evaluated_full_2564,0.008190327613104524,0.008190327613104524,0.008190327613104524,0.004787852540839146,0.004787852540839146,0.004787852540839146,0.04604604604604605,0.0044943820224719105,0.0044943820224719105,0.0,2564,0.013211382113821139,0.006938612597390424,984,0.0052863436123348016,0.0030382899725809624,1135,0.0044943820224719105,0.0044943820224719105,445
MM-SFT,evaluated_full_2564,0.01014040561622465,0.01014040561622465,0.01014040561622465,0.005373580622468394,0.005373580622468394,0.005373580622468394,0.03903903903903904,0.009111617312072893,0.005993006272372341,0.0,2564,0.017346938775510204,0.009062186202296096,980,0.004366812227074236,0.0019790292438317263,1145,0.009111617312072893,0.005993006272372341,439
MM-GRPO,evaluated_full_2564,0.0070202808112324495,0.0070202808112324495,0.0070202808112324495,0.003956756693112368,0.003956756693112368,0.003956756693112368,0.042042042042042045,0.00683371298405467,0.004140158007535159,0.0,2564,0.009183673469387756,0.005112311663800248,980,0.005240174672489083,0.0028974055592209036,1145,0.00683371298405467,0.004140158007535159,439
