experiment,embedding,preprocessing,codebooks,latent_dim,beta,quant_loss_weight,sk_epsilons,best_epoch,reconstruction_loss,raw_unique_sid,collision_count,collision_rate,L1_used_codes,L1_utilization_rate,L1_entropy,L1_normalized_entropy,L1_perplexity,L1_most_frequent_code_ratio,L1_top5_code_ratio,L2_used_codes,L2_utilization_rate,L2_entropy,L2_normalized_entropy,L2_perplexity,L2_most_frequent_code_ratio,L2_top5_code_ratio,L3_used_codes,L3_utilization_rate,L3_entropy,L3_normalized_entropy,L3_perplexity,L3_most_frequent_code_ratio,L3_top5_code_ratio,prefix1_unique,prefix2_unique,prefix3_unique
Q0_none_sk0,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,32/32/32,64,0.25,1.0,0.0/0.0/0.0,19,0.0007115987501267867,5124,2369,0.3161617509675697,32,1.0,3.3625063319036412,0.9702142419990244,28.861436644938227,0.062191378620045375,0.26651541438676096,32,1.0,3.4455928710770576,0.9941879496050473,31.36187148249487,0.04283998398505272,0.20365674629654343,32,1.0,3.453420273375118,0.9964464605007383,31.608316722155443,0.04751101027625784,0.19458160950220205,32,947,5124
Q1_zscore_sk0,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,zscore,32/32/32,64,0.25,1.0,0.0/0.0/0.0,19,0.9896692289322465,3341,4152,0.5541171760309622,31,0.96875,2.8905384692803477,0.8340331030259066,18.003001055063365,0.17162685172827974,0.4908581342586414,31,0.96875,2.825048686917793,0.8151367461772355,16.861765913515534,0.13052182036567464,0.47684505538502603,29,0.90625,2.8769795147658863,0.830120815738376,17.760546611516617,0.10943547310823436,0.44441478713465904,31,550,3341
Q2_none_sk001,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,32/32/32,64,0.25,1.0,0.001/0.001/0.001,19,0.0012994496188844045,46,7447,0.9938609368744161,11,0.34375,0.32173408377993107,0.09283283343085216,1.3795178909959862,0.9291338582677166,0.9966635526491392,8,0.25,0.4034905320984437,0.11642275794081478,1.4970410582744889,0.8776191111704257,0.9989323368477245,7,0.21875,0.1627198214515332,0.0469510158924929,1.176706955451645,0.9718403843587348,0.9991992526357935,11,23,46
Q3_none_sk003,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,32/32/32,64,0.25,1.0,0.003/0.003/0.003,19,0.0007158751016600954,5290,2203,0.294007740557854,32,1.0,3.4447474753215155,0.9939440199522255,31.335369493370674,0.04751101027625784,0.20752702522354197,32,1.0,3.433055362503352,0.9905703893161698,30.971126353491695,0.04711063659415454,0.21807019885226211,32,1.0,3.4317008629931403,0.990179563370916,30.929204376073532,0.05204857867342853,0.2246096356599493,32,964,5290
Q4_zscore_sk003,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,zscore,32/32/32,64,0.25,1.0,0.003/0.003/0.003,39,0.946733718506196,3892,3601,0.4805818764179901,32,1.0,3.365138853410957,0.970973827143752,28.937515092776774,0.06926464700387028,0.28800213532630453,32,1.0,3.1810732206233596,0.9178637120196008,24.07257487741244,0.08914987321500066,0.38596022954757775,32,1.0,3.1866160130224443,0.9194630238409682,24.206374632045247,0.1008941678900307,0.39009742426264515,32,775,3892
Q5_best_latent128,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,32/32/32,128,0.25,1.0,0.003/0.003/0.003,19,0.0006921006466624437,5168,2325,0.3102896036300547,32,1.0,3.439082070524657,0.9923093296712142,31.158343875121243,0.04844521553449887,0.21860403042839985,32,1.0,3.439620995424419,0.9924648305272739,31.175140408099278,0.04751101027625784,0.20912851995195517,32,1.0,3.447857895483051,0.9948414975006512,31.432987396056255,0.042306152408914985,0.19871880421726945,32,941,5168
Q6_best_latent128_codebook64,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,64/64/64,128,0.25,1.0,0.003/0.003/0.003,19,0.0006578743492264601,6515,978,0.13052182036567464,64,1.0,4.109872345638186,0.9882154086231505,60.93893795184783,0.04804484185239557,0.13732817296143066,64,1.0,4.111892246657726,0.9887010921538134,61.06215297392774,0.02869344721740291,0.12892032563726144,64,1.0,4.11042076331762,0.9883472752008932,60.97236710851899,0.02682503670092086,0.12531696249833177,64,2511,6515
Q7_best_latent128_codebook128,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,128/128/128,128,0.25,1.0,0.003/0.003/0.003,19,0.0006279122803451868,7075,418,0.05578539970639263,128,1.0,4.801475174132147,0.9895806318102743,121.68979882024288,0.014947284131856399,0.06726277859335379,128,1.0,4.814079637013144,0.9921784026804863,123.23334069512867,0.015748031496062992,0.06712932069931936,128,1.0,4.8093361708493525,0.9912007776646111,122.65017172788659,0.014013078873615374,0.06379287334845857,128,4345,7075
Q8_best_latent128_codebook256,outputs/qwen3vl/Industrial_and_Scientific_1m.qwen3vl-768.npy,none,256/256/256,128,0.25,1.0,0.003/0.003/0.003,19,0.0006112170243815832,7261,232,0.030962231415988254,256,1.0,5.470618674100134,0.9865543039648524,237.60714868646596,0.009608968370479113,0.0407046576805018,256,1.0,5.48072026145668,0.988375992712902,240.01952194145352,0.008541305218203657,0.04123848925663953,249,0.97265625,5.429735566644204,0.9791815719170025,228.0889231293792,0.015748031496062992,0.05218203656746297,256,5535,7261
