model,status,hr@5,hr@10,hr@20,ndcg@5,ndcg@10,ndcg@20,coverage,tail_hr@10,tail_ndcg@10,invalid_sid_rate,samples,hr@10_collision,ndcg@10_collision,samples_collision,hr@10_non_collision,ndcg@10_non_collision,samples_non_collision,hr@10_head,ndcg@10_head,samples_head,hr@10_mid,ndcg@10_mid,samples_mid,hr@10_tail,ndcg@10_tail,samples_tail
Qwen3-4B-Q6-SFT,evaluated,0.004890895410082769,0.0072736393278154,0.009781790820165538,0.0031041369230693132,0.0038504675805816585,0.004476662381293808,0.007340184171893768,0.007915017704644865,0.0037993216615505136,0.0,7974,0.0,0.0,1971,0.00966183574879227,0.005114714057564242,6003,0.00875,0.006123166105199953,1600,0.003814367450731087,0.001694862951134266,1573,0.007915017704644865,0.0037993216615505136,4801
Qwen3-4B-Q7-SFT,evaluated,0.008276899924755455,0.010659643842488086,0.015299724103335842,0.004968925006130661,0.005736147068113737,0.006911252458819403,0.004937942079273989,0.0018812709030100335,0.0005986453801151499,0.0,7974,0.0,0.0,822,0.011884787472035795,0.006395419004633521,7152,0.03366583541147132,0.021718951652851485,1604,0.013871374527112233,0.005068675139655933,1586,0.0018812709030100335,0.0005986453801151499,4784
Qwen3-4B-Q8-SFT,evaluated,0.005016302984700276,0.009781790820165538,0.016804614998745925,0.0022772709680320717,0.0038063770749009232,0.005591840343659702,0.004270652609101829,0.0012507817385866166,0.0003750582089199713,0.0,7974,0.0,0.0,497,0.010431991440417279,0.004059388898657211,7477,0.045,0.017845560354419292,1600,0.0,0.0,1577,0.0012507817385866166,0.0003750582089199713,4797
